,Census Name,Code
0,"Aberdeen, SD Micro Area",30141
1,"Abilene, TX Metro Area",30136
2,"Ada, OK Micro Area",36429
3,"Aguadilla-Isabela, PR Metro Area",30732
4,"Alamogordo, NM Micro Area",30266
5,"Albany, GA Metro Area",30146
6,"Albany-Schenectady-Troy, NY Metro Area",30257
7,"Albany-Schenectady-Troy, NY Metro Area",34713
8,"Albemarle, NC Micro Area",35639
9,"Albertville, AL Micro Area",30253
10,"Albuquerque, NM Metro Area",30140
11,"Alexander City, AL Micro Area",30276
12,"Alexandria, LA Metro Area",30185
13,"Alexandria, MN Micro Area",30449
14,"Alice, TX Micro Area",30263
15,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",30135
16,"Alma, MI Micro Area",30288
17,"Alpena, MI Micro Area",30333
18,"Altoona, PA Metro Area",30322
19,"Altus, OK Micro Area",30451
20,"Amarillo, TX Metro Area",30279
21,"Americus, GA Micro Area",35665
22,"Ames, IA Metro Area",30294
23,"Anchorage, AK Metro Area",30299
24,"Andrews, TX Micro Area",30442
25,"Ann Arbor, MI Metro Area",30348
26,"Anniston-Oxford, AL Metro Area",30298
27,"Appleton, WI Metro Area",30408
28,"Ardmore, OK Micro Area",30167
29,"Arecibo, PR Metro Area",30351
30,"Asheville, NC Metro Area",30431
31,"Ashland, OH Micro Area",36754
32,"Athens, OH Micro Area",30400
33,"Athens, TN Micro Area",33389
34,"Athens-Clarke County, GA Metro Area",30216
35,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",30397
36,"Atlantic City-Hammonton, NJ Metro Area",30158
37,"Auburn, IN Micro Area",32336
38,"Auburn-Opelika, AL Metro Area",30419
39,"Augusta-Richmond County, GA-SC Metro Area",30208
40,"Augusta-Waterville, ME Micro Area",30414
41,"Austin-Round Rock-Georgetown, TX Metro Area",30423
42,"Austin-Round Rock-Georgetown, TX Metro Area",32008
43,"Bainbridge, GA Micro Area",30573
44,"Bakersfield, CA Metro Area",30561
45,"Bangor, ME Metro Area",30581
46,"Bardstown, KY Micro Area",30756
47,"Bartlesville, OK Micro Area",30811
48,"Batavia, NY Micro Area",32029
49,"Batesville, AR Micro Area",30814
50,"Baton Rouge, LA Metro Area",30781
51,"Battle Creek, MI Metro Area",30778
52,"Bay City, TX Micro Area",30494
53,"Beatrice, NE Micro Area",30614
54,"Beaumont-Port Arthur, TX Metro Area",30728
55,"Beckley, WV Metro Area",30654
56,"Bedford, IN Micro Area",30567
57,"Bellefontaine, OH Micro Area",33834
58,"Bellingham, WA Metro Area",30666
59,"Bemidji, MN Micro Area",30631
60,"Bend, OR Metro Area",36546
61,"Bennettsville, SC Micro Area",35727
62,"Bennington, VT Micro Area",32599
